"X","Title","Desc","Type","BodyPart","Equipment","Level","Rating","RatingDesc"
96,"Sledgehammer swing","The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.","Plyometrics","Abdominals","Other","Intermediate",8.6,"Average"
97,"Decline bar press sit-up","The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.","Strength","Abdominals","Barbell","Intermediate",8.5,"Average"
99,"Weighted Sit-Ups - With Bands","The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.","Strength","Abdominals","Other","Intermediate",8,"Average"
100,"Suitcase crunch","The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout.","Strength","Abdominals","Other","Intermediate",0,"Average"
101,"FYR Rope Jumping","Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance.","Strength","Abdominals","Other","Intermediate",,""
102,"Barbell press sit-up","The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also involves the obliques and deep core muscles. It can be performed on the floor with the feet anchored or unanchored, or on a decline or other bench. It is similar to the Otis-up, which is performed with a weight plate.","Strength","Abdominals","Other","Intermediate",,""
103,"Single-arm bent-over rear delt fly","The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.","Strength","Abdominals","Other","Intermediate",,""
104,"Captain's chair leg raise","The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.","Strength","Abdominals","Other","Intermediate",,""
105,"Shoulder-Elevated One-Leg Hip Thrusts","","Strength","Abdominals","Other","Intermediate",,""
106,"Ab Twist - Gethin Variation","The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout.","Strength","Abdominals","Other","Intermediate",,""
107,"Weighted Crunch - Gethin Variation","The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.","Strength","Abdominals","Other","Intermediate",,""
108,"Ab Wheel Roll-Out - Gethin Variation","The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.","Strength","Abdominals","Other","Intermediate",,""
109,"Bench crunch","The bench crunch is a popular ab exercise performed lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.","Strength","Abdominals","Other","Intermediate",,""
110,"Decline plate sit-up twist","The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.","Strength","Abdominals","Other","Intermediate",,""
111,"Reverse ab roll-out","The reverse ab roll-out is an exercise targeting the abdominals. It's a twist on the ab wheel roll-out, and is similar to a body saw exercise, only performed on a foam roller. Instead of your arms moving and your lower body remaining stationary, your lower body moves and your arms remain stationary. Beginners may need to use a limited range of motion.","Strength","Abdominals","Other","Intermediate",,""
112,"30 Seated Twist With PVC Pipe","The seated bar twist is a core exercise aiming to strengthen the obliques.","Strength","Abdominals","Other","Intermediate",,""
113,"Suspended crunch-","The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles.","Strength","Abdominals","Other","Intermediate",,""
114,"Suspended oblique crunch","The suspended oblique crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the obliques, but also the rectus abdominis or ""six-pack"" muscles, the shoulders, and deep core muscles.","Strength","Abdominals","Other","Intermediate",,""
115,"Weighted sit-up","The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.","Strength","Abdominals","Other","Intermediate",,""
116,"30 Decline Press Sit-Up","The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.","Strength","Abdominals","Other","Intermediate",,""
117,"Holman Towel Reverse Plank Alternating Heel Pull-in","","Strength","Abdominals","Other","Intermediate",,""
118,"Holman Boat with Weighted Cross Punch","","Strength","Abdominals","Other","Intermediate",,""
120,"Holman Weighted Traveling Punch","","Strength","Abdominals","Other","Intermediate",,""
121,"Holman Weighted Uppercut Punch","","Strength","Abdominals","Other","Intermediate",,""
146,"Holman Weighted Split-Leg Pike","","Strength","Abdominals","Other","Intermediate",,""
147,"Holman Towel Reverse Plank Heel Pull-in","","Strength","Abdominals","Other","Intermediate",,""
148,"Stick Twist","","Strength","Abdominals","Other","Intermediate",,""
150,"Standing cable low-to-high twist","The standing cable low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.","Strength","Abdominals","Cable","Intermediate",9.3,"Average"
151,"Single-arm high-cable side bend","The single-arm high-cable side bend is an exercise targeting the obliques using a cable stack machine.","Strength","Abdominals","Cable","Intermediate",9.1,"Average"
152,"Kneeling cable oblique crunch","The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps, such as 8-12 reps per set or higher.","Strength","Abdominals","Cable","Intermediate",9,"Average"
153,"Kneeling cable crunch","The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.","Strength","Abdominals","Cable","Intermediate",8.9,"Average"
154,"Rope Crunch","The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.","Strength","Abdominals","Cable","Intermediate",8.6,"Average"
155,"Standing cable crunch","The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.","Strength","Abdominals","Cable","Intermediate",8.6,"Average"
172,"Cable lying twist on ball","The cable lying twist on ball is an exercise targeting the core and obliques with the added challenge of stability to keep from losing position on the unstable surface.","Strength","Abdominals","Cable","Intermediate",,""
173,"30 Cable Pallof Press","The pallof press is an anti-rotation, isometric exercise that trains core stability. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements.","Strength","Abdominals","Cable","Intermediate",,""
174,"30 Cable Reverse Crunch On Ball","The cable reverse crunch on a BOSU is performed on top of a BOSU ball between two cable pulleys, which helps target the lower abdominals specifically and is more proprioceptively challenging than a cable reverse crunch on the floor.","Strength","Abdominals","Cable","Intermediate",,""
176,"Tyler Holt Cable Torso Twist","","Strength","Abdominals","Cable","Intermediate",,""
177,"Single-Arm Cable Outward-Facing Biceps Curl","The single-arm cable outward-facing biceps curl is a cable exercise that targets the biceps. It is performed standing in front of a cable machine facing away from the cable stack to increase the range of motion by fully extending the elbows. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout.","Strength","Abdominals","Cable","Intermediate",,""
178,"Biceps Rope Curl","","Strength","Abdominals","Cable","Intermediate",,""
179,"Kneeling Cable Crunches","","Strength","Abdominals","Cable","Intermediate",,""
180,"Ab Crunch Machine","The machine crunch is a machine-based exercise targeting the abdominal muscles. It involves sitting upright in the machine and curling the torso down toward the chest against some pre-set level of resistance. On some machines, the knees also curl up torward the torso. Crunch machines usually use extra resistance in the form of selectorized weight stacks or plate loading, and are often performed for moderate to high reps, like 8-12 reps per set or higher, as part of the ab-focused portion of a workout.","Strength","Abdominals","Machine","Intermediate",8,"Average"
181,"Smith machine straight-legged hip raise","The Smith machine straight-legged hip raise is an exercise targeting the abdominal muscles. Because of the potential awkwardness of getting into position, it is usually performed for moderate to high reps, such as 8-12 reps per set or more. If your Smith machine has safety bars, set them at a height that allows you a full range of motion while giving adequate protection from the weight potentially falling.","Strength","Abdominals","Machine","Intermediate",8,"Average"
665,"Iliotibial band SMR","Iliotibial band self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller or other ""trigger point"" massage tool. By applying pressure strategically to the IT band along the side of the upper leg, some people find they can cause this often painful and tight area to relax or ""release."" IT band SMR is often accompanied by SMR on the glute or quad muscles, or by stretches that target the glutes or quads.","Stretching","Adductors","Foam Roll","Intermediate",8.2,"Average"
666,"Adductor SMR","Adductor self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the adductor muscles in the inner thigh region, some people find they can cause this often painful and tight muscle to relax or ""release."" Adductor SMR is often accompanied by SMR on the iliotibial (IT) band or glutes (TFL muscles), or by stretches that target the adductors.","Stretching","Adductors","Foam Roll","Beginner",4,"Average"
668,"Lateral box jump","The lateral box jump is a plyometric exercise targeting lateral agility and lower-body strength. It's a great move for athletes in many sports, including basketball, skiing, and tennis.","Plyometrics","Adductors","Other","Intermediate",0,""
669,"Thigh adductor","The thigh adductor machine is a lower-body exercise that targets the muscles of the inner thighs. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.","Strength","Adductors","Machine","Intermediate",9,"Average"
670,"Thigh abductor","The thigh abductor is a lower-body exercise that targets the muscles of the outer hips and glutes. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.","Strength","Adductors","Machine","Intermediate",8.2,"Average"
676,"Lateral hop","The lateral hop is an explosive bodyweight exercise that consists of a two-legged hop to the side. It targets the lower body, including the quads, glutes, and hamstrings. Performed for reps, it also provides a serious cardiovascular challenge. It can be performed for time or reps and is especially effective in a fat-loss or athleticism-focused circuit or workout.","Plyometrics","Adductors","Body Only","Intermediate",7.3,"Average"
680,"Single-leg lying cross-over stretch","The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back, hips, and glutes. It involves rotating a single leg over the body while lying flat on the back. It is commonly included in dynamic warm-ups, but can also be performed as full-body mobility work anytime.","Stretching","Adductors","Body Only","Beginner",1.6,"Average"
681,"Carioca quick step","The carioca quick step is a lateral bodyweight exercise targeting the adductors but also promoting agility and overall conditioning. It?셲 a favorite of football players, particularly defensive backs, because it mimics the way they have to track wide receivers downfield. It can also help mobilize the hips for athletes and lifters of all ability levels.","Plyometrics","Adductors","Body Only","Intermediate",0,""
682,"Standing hip circle","The standing hip circle is a bodyweight exercise targeting the hips and abductor muscles. It is a classic way to ""limber up"" after sitting for a long period or before a lower-body workout or sports. It requires no equipment and can be helpful for everyone from beginners to advanced fitness enthusiasts.","Stretching","Adductors","Body Only","Intermediate",0,"Average"
683,"Lateral cone hop","The lateral cone hop is an agility drill that involves jumping over cones or other short hurdles side to side rather than front to back. It can be performed for reps or for time and can be beneficial for track athletes, basketball players, or any other athletes who need explosive lateral power.","Plyometrics","Adductors","Body Only","Intermediate",0,""
701,"Banded biceps curl in squat position","The banded biceps curl in squat position is an exercise targeting the biceps, although it also works the core and lower body.","Strength","Biceps","Bands","Intermediate",,""
702,"Banded Hammer Press - Gethin Variation","The machine chest press is an upper body exercise targeting the pectoral muscles.","Strength","Biceps","Bands","Intermediate",,""
703,"Band standing concentration curl","The band standing concentration curl is a variation of a popular biceps-focused exercise utilizing a band instead of a dumbbell. It allows you to focus on one biceps at a time and really squeeze out intense peak contractions. Band concentration curls are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or arm-focused workout.","Strength","Biceps","Bands","Intermediate",,""
704,"Brachialis SMR","Brachialis self-myofascial release (SMR) is a self-administered soft-tissue treatment for the upper body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the biceps or brachialis muscles of the upper arm, some people find they can cause this often painful and tight muscle to relax or ""release."" Brachialis SMR is often accompanied by SMR on the triceps muscles or pectorals, or by stretches that target the biceps or pecs.","Stretching","Biceps","Foam Roll","Beginner",3.2,"Average"
705,"Wide-grip barbell curl","The wide-grip barbell curl is a variation of the classic barbell curl with the grip wider than shoulder width. It is thought that this helps build the inner or ""short"" head of the biceps muscles. This movement is usually performed for moderate to high reps, such as 8-12 reps per set.","Strength","Biceps","Barbell","Beginner",9.3,"Average"
706,"EZ-bar spider curl","The EZ-bar spider curl is an exercise targeting the biceps and performed face down on either an incline bench or on the flat side of a preacher bench. The EZ-bar makes for a more comfortable wrist position, while the angle helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.","Strength","Biceps","Barbell","Intermediate",9.2,"Average"
707,"Barbell Curl","The barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. It helps build sleeve-popping biceps and allows heavier loading than many other curl variations. It is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout.","Strength","Biceps","Barbell","Intermediate",9,"Average"
708,"Close-grip EZ-bar curl","The close-grip EZ-bar curl is an exercise targeting the biceps, particularly the long head. The main difference between this exercise and standard EZ-bar curls is that the hands are positioned closer together on the bar. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set.","Strength","Biceps","Barbell","Beginner",8.9,"Average"
709,"Preacher Curl","The EZ-bar preacher curl is a classic exercise for building bigger biceps. This move is all about isolation. With the back of the upper arms against the pad, it?셲 next to impossible to cheat. Go light, get a great pump, and build that peak!","Strength","Biceps","Barbell","Intermediate",8.8,"Average"
712,"Close-grip barbell curl","The close-grip barbell curl is a curl variation where the hands are closer than shoulder width. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set.","Strength","Biceps","Barbell","Beginner",8.6,"Average"
713,"Drag curl","The drag curl is a biceps exercise that attempts to remove the influence of the front deltoids on the classic curl. With the elbows kept back, the barbell ""drags"" up the torso. It is usually performed for moderate to high reps, such as 8-15 reps per set, as part of an upper-body or arms-focused workout.","Strength","Biceps","Barbell","Beginner",8.5,"Average"
871,"Calf SMR","Calf self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the calf muscles of the lower leg, some people find they can cause this often painful and tight muscle to relax or ""release."" Calf SMR is often accompanied by SMR on the quadriceps muscles, or by stretches that target the calves.","Stretching","Calves","Foam Roll","Beginner",6,"Average"
873,"Standing barbell calf raise","The standing barbell calf raise is a popular exercise to target the calf muscles of the lower leg, particularly the gastrocnemius muscle. It can be performed for time or for reps, either using a barbell or Smith machine bar if balance is a problem.","Strength","Calves","Barbell","Beginner",8.2,"Average"
875,"Smith machine standing calf raise","The Smith machine standing calf raise is a machine-based exercise targeting the muscles of the calves, particularly the gastrocnemius or upper calf muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the lower-body portion of a workout.","Strength","Calves","Barbell","Intermediate",,""
877,"Standing Dumbbell Calf Raise","The standing dumbbell calf raise is a popular exercise to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. It can be performed for time or for reps, either two dumbbells, or one if balance is a problem and you would like to use your free hand to hold a fixed object.","Strength","Calves","Dumbbell","Intermediate",,""
878,"Single-leg standing dumbbell calf raise","The single-leg standing dumbbell calf raise is a popular exercise to target the calf muscles of the lower leg, particularly the gastrocnemius muscle. It can be performed for time or for reps, either with two dumbbells or with one if balance is a problem and you would like to use your free hand to hold a fixed object.","Strength","Calves","Dumbbell","Intermediate",,""
879,"Dumbbell walking calf raise","The dumbbell walking calf raise is a dynamic exercise targeting the calf muscles of the lower leg, particularly the gastrocnemius muscle. It can be performed for distance or for reps.","Strength","Calves","Dumbbell","Intermediate",,""
881,"Weighted donkey calf raise","The weighted donkey calk raise is a strength and muscle-building exercise focused on the muscles of the lower leg, most prominently the gastrocnemius muscle. While traditional donkey calf raises involved either a specific machine or carrying another person on one's back, this method uses a weight belt. It can be done in traditional muscle-building rep ranges, or for higher reps as part of lower-body training.","Strength","Calves","Other","Intermediate",7.4,"Average"
885,"Single-leg machine seated calf raise","The single-leg machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, but occasionally for higher reps of 20 per set or more.","Strength","Calves","Other","Intermediate",,""
886,"Smith Machine Calf Raise","The Smith machine standing calf raise is a machine-based exercise targeting the muscles of the calves, particularly the gastrocnemius or upper calf muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the lower-body portion of a workout.","Strength","Calves","Machine","Intermediate",9.2,"Average"
887,"Standing Calf Raises","The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.","Strength","Calves","Machine","Beginner",9,"Average"
888,"Seated Calf Raise","The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of 50-100 total reps.","Strength","Calves","Machine","Intermediate",8.7,"Average"
889,"Calf Press On The Leg Press Machine","The leg press calf raise is an exercise that uses the leg press machine to work the calves. With the toes and balls of your feet on the platform but heels off, you push forward to work the calves.","Strength","Calves","Machine","Intermediate",8.7,"Average"
919,"Band-suspended kettlebell bench press","The band-suspended kettlebell bench press is a bench press variation where kettlebells or weight plates are hung from the ends of a barbell by looped bands. The suspended weights can be in addition to normally loaded weight plates, or in the place of them. Because the instability of the weights makes the lift difficult, this bench press variety is a popular accessory movement for building the traditional bench press in powerlifting training.","Strength","Chest","Bands","Intermediate",,""
924,"Incline band bench press","The incline band bench press is variation of the incline press, a popular upper-body exercise targeting the upper pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.","Strength","Chest","Bands","Intermediate",,""
925,"Band push-up","The band push-up is a progression of the popular bodyweight version of the exercise commonly used in military and tactical physical fitness tests. Adding the dynamic resistance of the band matches the strength curve of the push-up and helps build upper-body muscle and strength, emphasizing the chest, triceps, and shoulders, but also working the upper back and core.","Strength","Chest","Bands","Intermediate",,""
926,"Band chest fly","Similar to the cable chest fly, the band chest fly is a single-joint movement that works the pectoral muscles. The fly is common in upper-body and chest-focused muscle-building workouts, and the band variation works well as a pre-exhaust at the beginning of a workout or a finishing movement at the end. It is often used in combination with other presses or flyes to target the chest from different angles.","Strength","Chest","Bands","Intermediate",,""
927,"Close-grip bench press","The close-grip bench press is a popular exercise targeting the triceps and chest. The main difference between this exercise and the standard bench press is that the hands and elbows are placed closer together, which places more of an emphasis on the triceps. The close-grip bench press is often used as an accessory movement for the traditional bench press, or as a triceps builder for arm training. Similar to the bench press, it can be trained in low reps for strength or higher reps for muscle or strength endurance.","Strength","Chest","Barbell","Intermediate",9.1,"Average"
